"","Overall"
"a03sexo2",37.2359178323675
"a05idade",0.158822743012134
"abepdicotomica2",11.6801762453409
"cordapele2",0
"escolaridade",1.42409863213603
"a36relaciona2",41.1149191596019
"a36relaciona3",57.5294930173213
"a36relaciona4",0
"a36relaciona5",7.59366680673842
"a36relaciona6",32.3864879102632
"b01famil12",0
"b04interna12",28.8945946243695
"b03med12",13.1582349556122
"b06tentsu12",24.0097682389666
"b08famil22",25.691878405927
"b10med22",100
"b13tentsu22",69.0936209684975
"uso_crackandcocaina2",62.5538054603771
"nemtrabnemestuda2",24.8333738033573
"a16tratpsic2",7.14416404060329
"a30interp2",5.71043042589434
"moracomalgunsdospais2",3.38922800660589
"tagatual2",9.72542922371154
"teptatual2",27.4255607506604
"tocatual2",29.076060340787
"agorafobiaatual2",36.1904079944565
"esquizoide",0
"ansiedade",1.60513889135966
"esquizotipico",0
"paranoide",0.935350064036613
"histrionico",0
"narcisista",0.612783778487391
"borderline",0
"anti_social",0
"evitativo",0.532928836840021
"dependente",1.88661265698806
"compulsivo",4.79072528850711
"alcoolabudep2",4.98047318392234
"maconhaabudep2",55.0932146076947
"alucinogenosabudep2",29.9879735531714
"abudepoutrasdrogas2",0
"abudepoutrasdrogasshipnoticos2",0
"cigarroabudep2",9.08260526741738
"suiciderisk_MINI1",0.0326924569622216
"CTQ",0.19409101811736
