"","roc_curve.sensitivities"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",0.971428571428571
"10",0.942857142857143
"11",0.942857142857143
"12",0.942857142857143
"13",0.942857142857143
"14",0.942857142857143
"15",0.942857142857143
"16",0.914285714285714
"17",0.885714285714286
"18",0.857142857142857
"19",0.857142857142857
"20",0.857142857142857
"21",0.857142857142857
"22",0.857142857142857
"23",0.857142857142857
"24",0.857142857142857
"25",0.828571428571429
"26",0.8
"27",0.8
"28",0.771428571428571
"29",0.771428571428571
"30",0.771428571428571
"31",0.771428571428571
"32",0.771428571428571
"33",0.771428571428571
"34",0.742857142857143
"35",0.714285714285714
"36",0.685714285714286
"37",0.657142857142857
"38",0.628571428571429
"39",0.628571428571429
"40",0.6
"41",0.6
"42",0.6
"43",0.571428571428571
"44",0.542857142857143
"45",0.514285714285714
"46",0.485714285714286
"47",0.457142857142857
"48",0.457142857142857
"49",0.428571428571429
"50",0.4
"51",0.371428571428571
"52",0.342857142857143
"53",0.314285714285714
"54",0.285714285714286
"55",0.257142857142857
"56",0.228571428571429
"57",0.2
"58",0.2
"59",0.171428571428571
"60",0.142857142857143
"61",0.142857142857143
"62",0.114285714285714
"63",0.0857142857142857
"64",0.0571428571428571
"65",0.0285714285714286
"66",0
