"","roc_curve.specificities"
"1",0
"2",0.0333333333333333
"3",0.0666666666666667
"4",0.1
"5",0.133333333333333
"6",0.166666666666667
"7",0.2
"8",0.233333333333333
"9",0.233333333333333
"10",0.233333333333333
"11",0.266666666666667
"12",0.3
"13",0.333333333333333
"14",0.366666666666667
"15",0.4
"16",0.4
"17",0.4
"18",0.4
"19",0.433333333333333
"20",0.466666666666667
"21",0.5
"22",0.533333333333333
"23",0.566666666666667
"24",0.6
"25",0.6
"26",0.6
"27",0.633333333333333
"28",0.633333333333333
"29",0.666666666666667
"30",0.7
"31",0.733333333333333
"32",0.766666666666667
"33",0.8
"34",0.8
"35",0.8
"36",0.8
"37",0.8
"38",0.8
"39",0.833333333333333
"40",0.833333333333333
"41",0.866666666666667
"42",0.9
"43",0.9
"44",0.9
"45",0.9
"46",0.9
"47",0.9
"48",0.933333333333333
"49",0.933333333333333
"50",0.933333333333333
"51",0.933333333333333
"52",0.933333333333333
"53",0.933333333333333
"54",0.933333333333333
"55",0.933333333333333
"56",0.933333333333333
"57",0.933333333333333
"58",0.966666666666667
"59",0.966666666666667
"60",0.966666666666667
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
