"","Overall"
"a03sexo2",8.91145916332851
"a05idade",0
"abepdicotomica2",0
"cordapele2",2.04430121638841
"escolaridade",0
"vive_companheiro1",20.3666319757571
"b01famil12",0
"b04interna12",0
"b03med12",0
"b06tentsu12",0
"b08famil22",0
"b10med22",0
"b13tentsu22",53.3249522031718
"nemtrabnemestuda2",0.532041795733973
"tpanicoatual2",9.63733932600213
"fobiasocialatual2",0
"fobiaespatual2",19.2828987658408
"a16tratpsic2",0
"a30interp2",0
"moracomalgunsdospais2",0
"tagatual2",0
"teptatual2",0
"tocatual2",0
"agorafobiaatual2",0
"clusterA",3.25903419023443
"clusterB",0.0184913325024383
"clusterC",0.202376855994262
"alcoolabudep2",0
"maconhaabudep2",100
"alucinogenosabudep2",5.50058167648364
"abudepoutrasdrogas2",0
"abudepoutrasdrogasshipnoticos2",0
"cigarroabudep2",0
"suiciderisk_MINI1",28.8088412383924
"CTQ",0.0121254577758015
