"","Overall"
"a03sexo2",0
"a05idade",0
"abepdicotomica2",0
"cordapele2",0
"escolaridade",4.38097819362411
"a36relaciona2",7.36120707786106
"a36relaciona3",0
"a36relaciona4",0
"a36relaciona5",0
"a36relaciona6",0
"b01famil12",0
"b04interna12",0
"b03med12",0
"b06tentsu12",0
"b08famil22",100
"b10med22",0
"b13tentsu22",0
"uso_crackandcocaina2",24.9110950669278
"nemtrabnemestuda2",0
"a16tratpsic2",13.6999647471401
"a30interp2",0
"moracomalgunsdospais2",0
"tagatual2",0
"teptatual2",24.768587073629
"tocatual2",0
"agorafobiaatual2",0
"esquizoide",3.13597561360695
"ansiedade",0
"esquizotipico",0.135812500412214
"paranoide",0
"histrionico",0
"narcisista",6.55946416567539
"borderline",0
"anti_social",2.31678889183197
"evitativo",0
"dependente",3.47200445352871
"compulsivo",1.33121569492213
"alcoolabudep2",0
"maconhaabudep2",0
"alucinogenosabudep2",0
"abudepoutrasdrogas2",1.37443772033905
"abudepoutrasdrogasshipnoticos2",2.06295433406717
"cigarroabudep2",0
"suiciderisk_MINI1",21.1016753347416
"CTQ",0
