"","Overall"
"a03sexo2",0
"a05idade",0
"abepdicotomica2",0
"cordapele2",22.2201217659956
"escolaridade",0
"a36relaciona2",0
"a36relaciona3",74.4169315845286
"a36relaciona4",0
"a36relaciona5",0
"a36relaciona6",24.1230969390591
"b01famil12",0
"b04interna12",0
"b03med12",0
"b06tentsu12",0
"b08famil22",0
"b10med22",0
"b13tentsu22",0
"nemtrabnemestuda2",0
"a16tratpsic2",0
"a30interp2",0
"moracomalgunsdospais2",0
"tpanicoatual2",0
"fobiaespatual2",100
"fobiasocialatual2",0
"tagatual2",0
"teptatual2",0
"tocatual2",0
"agorafobiaatual2",0
"esquizoide",4.37939867516053
"ansiedade",0
"esquizotipico",1.69968070488578
"paranoide",0
"histrionico",0
"narcisista",0.04298524660943
"borderline",2.7739169756718
"anti_social",5.17427336516643
"evitativo",0
"dependente",5.2167793315973
"compulsivo",1.38931292824253
"alcoolabudep2",0
"maconhaabudep2",0
"alucinogenosabudep2",0
"abudepoutrasdrogas2",17.3719212672937
"abudepoutrasdrogasshipnoticos2",0
"cigarroabudep2",0
"suiciderisk_MINI1",22.9977852947879
"CTQ",0.788807909202927
