"","Overall"
"a03sexo2",0
"a05idade",0
"abepdicotomica2",0
"cordapele2",0
"escolaridade",0
"a36relaciona2",0
"a36relaciona3",0
"a36relaciona4",0
"a36relaciona5",0
"a36relaciona6",0
"b01famil12",0
"b04interna12",0
"b03med12",0
"b06tentsu12",0
"b08famil22",89.169374130567
"b10med22",0
"b13tentsu22",0
"nemtrabnemestuda2",0
"tpanicoatual2",0
"fobiasocialatual2",0
"fobiaespatual2",100
"a16tratpsic2",0
"a30interp2",0
"moracomalgunsdospais2",0
"tagatual2",0
"teptatual2",0
"tocatual2",0
"agorafobiaatual2",0
"esquizoide",12.3423888002142
"ansiedade",0
"esquizotipico",0
"paranoide",0
"histrionico",0.612580227817904
"narcisista",3.29682574479224
"borderline",10.5751373317685
"anti_social",6.66839582552059
"evitativo",0
"dependente",14.3119981081296
"compulsivo",0.963417608998363
"alcoolabudep2",0
"maconhaabudep2",0
"alucinogenosabudep2",0
"abudepoutrasdrogas2",0
"abudepoutrasdrogasshipnoticos2",0
"cigarroabudep2",0
"suiciderisk_MINI1",69.2484765871281
"CTQ",1.16461196524794
