"","Overall"
"a03sexo2",0
"a05idade",1.38378143310884
"abepdicotomica2",0
"cordapele2",0
"escolaridade",0
"vive_companheiro1",0
"b01famil12",0
"b04interna12",0
"b03med12",0
"b06tentsu12",0
"b08famil22",0
"b10med22",100
"b13tentsu22",0
"nemtrabnemestuda2",0
"tpanicoatual2",0
"fobiasocialatual2",0
"fobiaespatual2",0.19190897983139
"a16tratpsic2",0
"a30interp2",0
"moracomalgunsdospais2",4.98556776276234
"tagatual2",0
"teptatual2",0
"tocatual2",8.32176454748658
"agorafobiaatual2",61.207668096271
"clusterA",6.11223263341651
"clusterB",0
"clusterC",0
"alcoolabudep2",0
"maconhaabudep2",0
"abudepoutrasdrogas2",51.0667828774509
"abudepoutrasdrogasshipnoticos2",0
"cigarroabudep2",1.99406599578718
"suiciderisk_MINI1",4.80913519278672
"CTQ",1.73406274842051
