"","roc_curve.sensitivities"
"1",1
"2",1
"3",1
"4",0.961538461538462
"5",0.923076923076923
"6",0.923076923076923
"7",0.923076923076923
"8",0.923076923076923
"9",0.923076923076923
"10",0.923076923076923
"11",0.923076923076923
"12",0.923076923076923
"13",0.923076923076923
"14",0.923076923076923
"15",0.923076923076923
"16",0.884615384615385
"17",0.884615384615385
"18",0.884615384615385
"19",0.884615384615385
"20",0.846153846153846
"21",0.807692307692308
"22",0.769230769230769
"23",0.769230769230769
"24",0.769230769230769
"25",0.769230769230769
"26",0.769230769230769
"27",0.730769230769231
"28",0.692307692307692
"29",0.653846153846154
"30",0.615384615384615
"31",0.576923076923077
"32",0.576923076923077
"33",0.576923076923077
"34",0.538461538461538
"35",0.5
"36",0.461538461538462
"37",0.423076923076923
"38",0.423076923076923
"39",0.384615384615385
"40",0.384615384615385
"41",0.346153846153846
"42",0.307692307692308
"43",0.269230769230769
"44",0.230769230769231
"45",0.192307692307692
"46",0.153846153846154
"47",0.153846153846154
"48",0.153846153846154
"49",0.115384615384615
"50",0.115384615384615
"51",0.0769230769230769
"52",0.0384615384615385
"53",0.0384615384615385
"54",0.0384615384615385
"55",0.0384615384615385
"56",0
"57",0
