"","roc_curve.specificities"
"1",0
"2",0.0333333333333333
"3",0.0666666666666667
"4",0.0666666666666667
"5",0.0666666666666667
"6",0.1
"7",0.133333333333333
"8",0.166666666666667
"9",0.2
"10",0.233333333333333
"11",0.266666666666667
"12",0.3
"13",0.333333333333333
"14",0.366666666666667
"15",0.4
"16",0.4
"17",0.433333333333333
"18",0.466666666666667
"19",0.5
"20",0.5
"21",0.5
"22",0.5
"23",0.533333333333333
"24",0.566666666666667
"25",0.6
"26",0.633333333333333
"27",0.633333333333333
"28",0.633333333333333
"29",0.633333333333333
"30",0.633333333333333
"31",0.633333333333333
"32",0.666666666666667
"33",0.7
"34",0.7
"35",0.7
"36",0.7
"37",0.7
"38",0.733333333333333
"39",0.733333333333333
"40",0.766666666666667
"41",0.766666666666667
"42",0.766666666666667
"43",0.766666666666667
"44",0.766666666666667
"45",0.766666666666667
"46",0.766666666666667
"47",0.8
"48",0.833333333333333
"49",0.833333333333333
"50",0.866666666666667
"51",0.866666666666667
"52",0.866666666666667
"53",0.9
"54",0.933333333333333
"55",0.966666666666667
"56",0.966666666666667
"57",1
