"variavel","beta","or"
"maconhaabudep2",0.261206379709447,1.29849562093142
"suiciderisk_MINI1",0.0940815996529906,1.09864939166871
"clusterA",0.0208386226741203,1.02105726285065
"clusterC",0.0016831273577524,1.00168454461163
"fobiaespatual2",0.000898333458396423,1.00089873708075
"suiciderisk_MINI1",0.532702206799037,1.70352938338005
"fobiaespatual2",0.216426708479445,1.24163208091576
"a03sexo2",0.175243728541375,1.19153659270018
"maconhaabudep2",0.15242411090327,1.16465407419512
"tagatual2",0.141718516344783,1.15225226270585
"abudepoutrasdrogas2",0.110296941437964,1.11660958889263
"nemtrabnemestuda2",-0.0825986316068059,0.920720621223892
"clusterA",0.0259890932062229,1.02632975444542
"CTQ",0.00811377407244288,1.0081467799443
"clusterC",0.000314434179586559,1.00031448361919
"b10med22",0.366741339973343,1.44302461805206
"agorafobiaatual2",0.224473822125774,1.25166394501782
"abudepoutrasdrogas2",0.187283003802743,1.20596853044088
"tocatual2",0.0305193507979061,1.0309898403318
"clusterA",0.0224160838615909,1.02266921211242
"moracomalgunsdospais2",-0.0182841380095278,0.981882002720871
"suiciderisk_MINI1",0.0176370868496537,1.01779353869742
"cigarroabudep2",-0.00731306436135286,0.992713611027935
"CTQ",0.00635952495967723,1.00637978967374
"a05idade",0.00507489857009901,1.00508779767917
"fobiaespatual2",0.000703809699506978,1.00070405743167
